"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1098657";"";"None";"332.35";"0";"1.65";"7";"NS(=O)(=O)c1cnc(Sc2ccc(F)c(F)c2)c(CO)c1";"IC50";"'='";"79.3";"nM";"7.10";"";"";"UO_0000065";"21.37";"0.46";"5.45";"7.61";"0";"CHEMBL1106608";"Inhibition of carbonic anhydrase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157929";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";"";"79.3"
"CHEMBL4069601";"";"None";"452.53";"0";"3.14";"25a; Enantiomer-1";"COc1cc2c(cc1OC)C(c1ccccc1)N(C(=O)c1ccc(S(N)(=O)=O)cc1)CC2";"Ki";"'='";"6.9";"nM";"8.16";"";"";"UO_0000065";"18.03";"0.35";"5.02";"8.25";"0";"CHEMBL4015664";"Inhibition of human carbonic anhydrase 2 incubated for 15 mins prior to testing by stopped flow CO2 hydration assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4014313";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"6.9"
"CHEMBL4070634";"";"None";"422.51";"0";"3.13";"23";"COc1ccc2c(c1)CCN(C(=O)c1ccc(S(N)(=O)=O)cc1)C2c1ccccc1";"Ki";"'='";"4.8";"nM";"8.32";"";"";"UO_0000065";"19.69";"0.38";"5.19";"9.27";"0";"CHEMBL4015664";"Inhibition of human carbonic anhydrase 2 incubated for 15 mins prior to testing by stopped flow CO2 hydration assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4014313";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"4.8"
"CHEMBL34546";"";"None";"616.64";"3";"-3.97";"A5";"NS(=O)(=O)c1nnc(NC(=O)CN(CCN(CC(=O)O)CC(=O)Nc2nnc(S(N)(=O)=O)s2)CC(=O)O)s1";"Ki";"'='";"11.0";"nM";"7.96";"";"";"UO_0000065";"12.91";"0.29";"11.93";"2.56";"0";"CHEMBL932208";"Inhibition of human recombinant CA2 by CO2 hydration stopped flow assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143206";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"11.0"
"CHEMBL290348";"";"None";"661.07";"3";"-3.18";"dtpa-L";"NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)cc1Cl";"Ki";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"11.98";"0.26";"11.10";"2.57";"0";"CHEMBL824220";"Inhibition of cloned isozyme, human carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134204";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"12.0"
"CHEMBL158363";"";"None";"267.35";"0";"-0.06";"6";"NS(=O)(=O)c1cc2c(s1)[S+]([O-])CCC2O";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"26.18";"0.64";"7.06";"6.77";"0";"CHEMBL656573";"In vitro inhibition against purified human erythrocyte carbonic anhydrase II was determined (acetozolamide used as control.)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123900";"1";"Scientific Literature";"J Med Chem";"1987";"None";"";"";"";"1E-7"
"CHEMBL1788205";"";"None";"283.35";"0";"-0.39";"R-4";"NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CC[C@H]2O";"Ki";"'='";"15.4";"nM";"7.81";"";"";"UO_0000065";"27.57";"0.67";"8.20";"6.82";"0";"CHEMBL659853";"In vitro binding to human erythrocyte carbonic anhydrase was determined by fluorescence competition assay employing the fluorescent CA inhibitor dansylamide";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123900";"1";"Scientific Literature";"J Med Chem";"1987";"None";"";"";"";"1.54E-8"
"CHEMBL287117";"";"None";"274.32";"0";"0.31";"R";"NS(=O)(=O)c1nc2ccc(OCCO)cc2s1";"Ki";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"29.73";"0.66";"7.84";"7.96";"1";"CHEMBL824220";"Inhibition of cloned isozyme, human carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134204";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"7.0"
"CHEMBL266026";"";"None";"341.41";"0";"0.39";"20";"Nc1ccc(S(=O)(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1";"Ki";"'='";"33.0";"nM";"7.48";"";"";"UO_0000065";"21.91";"0.46";"7.09";"5.65";"1";"CHEMBL839012";"Inhibitory activity against human carbonic anhydrase II (hCAII)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144327";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"33.0"
"CHEMBL360356";"";"None";"275.74";"0";"1.51";"20";"NS(=O)(=O)c1nnc(-c2ccccc2Cl)s1";"Ki";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"28.73";"0.68";"6.41";"9.22";"1";"CHEMBL829640";"Ki value against human carbonic anhydrase II (hCA II)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141984";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"12.0"
